name,sku,category,description,price,cost,stock
Classic Cotton T-Shirt,QD-001,Apparel,,19.99,8.5,240
Slim-Fit Denim Jeans,QD-002,Apparel,,49.99,22,130
Stainless Steel Water Bottle,QD-003,Kitchen,,24.5,9.75,310
Non-Stick Frying Pan,QD-004,Kitchen,,34,15.2,95
Wireless Bluetooth Earbuds,QD-005,Electronics,,59.99,27.4,180
Portable Phone Charger,QD-006,Electronics,,29.99,12.1,220
Lightweight Hiking Backpack,QD-007,Outdoors,,64.99,30.5,75
Insulated Camping Mug,QD-008,Outdoors,,15.99,6.8,260
Wooden Building Blocks Set,QD-009,Toys,,22.5,9.3,150
Plush Teddy Bear,QD-010,Toys,,17.99,6.9,200
