name,sku,category,price,cost,stock
Ultra Travel Mug,PROD-0001,Apparel,26,16.94,218
Deluxe Travel Mug,PROD-0002,Home & Kitchen,223.64,106.51,346
Premium Board Game,PROD-0003,Electronics,257.16,117.52,461
Portable Garden Hose,PROD-0004,Home & Kitchen,175.79,133.91,466
Wireless Bike Helmet,PROD-0005,Beauty,231.4,134.81,494
Ultra Sneakers,PROD-0006,Electronics,219.47,105.62,375
Deluxe Wall Clock,PROD-0007,Toys & Games,119.86,87.87,160
Premium Dog Leash,PROD-0008,Beauty,174.53,128.39,11
Ultra Backpack,PROD-0009,Apparel,142.27,92.58,289
Essential Notebook Set,PROD-0010,Beauty,106.76,75.14,32
Essential Running Shoes,PROD-0011,Home & Kitchen,86.41,65.07,374
Eco Desk Lamp,PROD-0012,Home & Kitchen,163.95,125.36,456
Classic Dog Leash,PROD-0013,Electronics,161.09,92.32,198
Compact Sunglasses,PROD-0014,Electronics,263.82,129.9,41
Smart Notebook Set,PROD-0015,Sports & Outdoors,192.59,144.17,463
Smart Throw Pillow,PROD-0016,Pet Supplies,131.08,83.98,239
Portable Air Fryer,PROD-0017,Apparel,105.89,62.6,399
Wireless Face Serum,PROD-0018,Apparel,116.97,76.57,266
Portable Coffee Maker,PROD-0019,Toys & Games,254.39,125.59,489
Smart Running Shoes,PROD-0020,Sports & Outdoors,93.75,52.14,497
Deluxe Sunglasses,PROD-0021,Electronics,194.9,90.99,197
Portable Sunglasses,PROD-0022,Apparel,45.08,26.6,248
Essential Travel Mug,PROD-0023,Beauty,247.77,125.24,179
Classic Yoga Mat,PROD-0024,Sports & Outdoors,196.84,109.69,209
Premium Garden Hose,PROD-0025,Toys & Games,200.29,112.61,308
Essential Bluetooth Speaker,PROD-0026,Office Supplies,62.96,29.47,92
Smart Bluetooth Speaker,PROD-0027,Beauty,214.8,135.11,179
Eco Bike Helmet,PROD-0028,Home & Kitchen,78.73,46.18,111
Classic Board Game,PROD-0029,Pet Supplies,231.83,105.68,214
Compact Running Shoes,PROD-0030,Apparel,14.11,8.69,322
Deluxe Bluetooth Speaker,PROD-0031,Beauty,275.28,131.48,450
Classic Air Fryer,PROD-0032,Toys & Games,203.15,143.22,426
Smart Coffee Maker,PROD-0033,Pet Supplies,99.21,64.63,152
Classic Face Serum,PROD-0034,Sports & Outdoors,130.02,64.02,159
Ultra Bluetooth Speaker,PROD-0035,Apparel,300.45,137.32,280
Smart Phone Case,PROD-0036,Beauty,165.08,91.55,97
Essential Blender,PROD-0037,Toys & Games,313.06,142.71,61
Wireless Travel Mug,PROD-0038,Pet Supplies,212.34,115.23,155
Portable Desk Organizer,PROD-0039,Office Supplies,111.93,72.92,18
Smart Garden Hose,PROD-0040,Office Supplies,142.95,95.21,135
Premium Headphones,PROD-0041,Sports & Outdoors,246.85,113.34,130
Compact Desk Lamp,PROD-0042,Home & Kitchen,105.73,53.14,176
Classic Sneakers,PROD-0043,Pet Supplies,88.14,52.66,242
Smart Charging Cable,PROD-0044,Beauty,282.98,145.8,247
Classic Bike Helmet,PROD-0045,Sports & Outdoors,73.99,35.33,475
Classic Garden Hose,PROD-0046,Pet Supplies,124.81,73.34,180
Compact Office Chair,PROD-0047,Electronics,227.37,110.74,282
Eco Coffee Maker,PROD-0048,Sports & Outdoors,40.99,31.22,380
Essential Headphones,PROD-0049,Pet Supplies,95.59,50.32,168
Ultra Running Shoes,PROD-0050,Toys & Games,257.88,123.32,179
