sku,review_date,review_text,rating
QD-010,2026-08-03,"Great value, my whole family loves it.",4
QD-002,2026-07-01,"Works exactly as described, would buy again.",5
QD-008,2026-07-17,"Really happy with this purchase, great quality for the price.",4
QD-005,2026-06-10,"Decent product for the price, no complaints.",3
QD-003,2026-08-03,"Great value, my whole family loves it.",5
QD-010,2026-07-06,"Works exactly as described, would buy again.",5
QD-006,2026-07-27,"Average quality, works okay so far.",3
QD-010,2026-07-18,"It's fine, does what it says but nothing special.",3
QD-008,2026-07-12,"Exceeded my expectations, very well made.",4
QD-002,2026-06-17,"Decent product for the price, no complaints.",3
QD-004,2026-07-17,"Decent product for the price, no complaints.",3
QD-006,2026-07-13,"Works exactly as described, would buy again.",4
QD-008,2026-06-11,"Really happy with this purchase, great quality for the price.",4
QD-006,2026-06-13,"Great value, my whole family loves it.",4
QD-001,2026-07-23,"Great value, my whole family loves it.",5
QD-006,2026-08-01,"Exceeded my expectations, very well made.",4
QD-004,2026-06-24,"Decent product for the price, no complaints.",3
QD-005,2026-06-11,"Disappointed with the quality, expected better.",1
QD-003,2026-06-09,"Great value, my whole family loves it.",5
QD-008,2026-07-15,"Works exactly as described, would buy again.",4
