sku,date,views
PROD-0001,2026-06-06,73
PROD-0001,2026-06-02,183
PROD-0001,2026-05-24,146
PROD-0001,2026-03-11,115
PROD-0001,2026-04-18,187
PROD-0001,2026-04-22,231
PROD-0001,2026-03-25,244
PROD-0001,2026-04-19,135
PROD-0001,2026-01-29,188
PROD-0001,2026-05-18,247
PROD-0001,2026-07-03,159
PROD-0001,2026-06-25,102
PROD-0001,2026-07-25,222
PROD-0001,2026-07-08,101
PROD-0001,2026-07-04,161
PROD-0001,2026-04-09,212
PROD-0001,2026-03-15,87
PROD-0001,2026-03-29,48
PROD-0001,2026-02-22,229
PROD-0002,2026-03-01,161
PROD-0002,2026-02-09,87
PROD-0002,2026-06-29,205
PROD-0002,2026-02-24,204
PROD-0002,2026-02-12,166
PROD-0002,2026-03-03,108
PROD-0002,2026-01-05,192
PROD-0002,2026-07-23,159
PROD-0002,2026-05-30,234
PROD-0002,2026-06-03,175
PROD-0002,2026-07-13,244
PROD-0002,2026-06-27,42
PROD-0002,2026-04-25,233
PROD-0002,2026-07-18,182
PROD-0002,2026-02-19,216
PROD-0002,2026-02-11,218
PROD-0002,2026-05-01,196
PROD-0002,2026-06-08,63
PROD-0002,2026-01-03,237
PROD-0003,2026-06-06,206
PROD-0003,2026-04-23,747
PROD-0003,2026-07-02,642
PROD-0003,2026-06-30,470
PROD-0003,2026-02-15,419
PROD-0003,2026-01-17,155
PROD-0003,2026-01-07,358
PROD-0003,2026-06-27,579
PROD-0003,2026-07-07,470
PROD-0003,2026-05-26,389
PROD-0003,2026-06-07,318
PROD-0003,2026-06-04,346
PROD-0003,2026-04-12,533
PROD-0003,2026-07-18,452
PROD-0003,2026-03-24,448
PROD-0003,2026-07-05,692
PROD-0003,2026-04-01,153
PROD-0003,2026-07-08,600
PROD-0003,2026-06-02,187
PROD-0003,2026-04-13,618
PROD-0003,2026-05-16,503
PROD-0003,2026-06-12,586
PROD-0003,2026-07-01,725
PROD-0003,2026-04-11,393
PROD-0003,2026-07-06,465
PROD-0003,2026-07-04,799
PROD-0003,2026-06-10,213
PROD-0003,2026-02-23,518
PROD-0003,2026-04-27,391
PROD-0003,2026-02-28,573
PROD-0003,2026-06-17,701
PROD-0003,2026-05-23,520
PROD-0003,2026-07-11,318
PROD-0003,2026-06-20,343
PROD-0003,2026-03-22,782
PROD-0003,2026-02-05,265
PROD-0003,2026-07-15,552
PROD-0003,2026-03-10,579
PROD-0003,2026-06-18,164
PROD-0003,2026-04-05,185
PROD-0004,2026-05-02,174
PROD-0004,2026-02-10,206
PROD-0004,2026-07-15,209
PROD-0004,2026-03-06,138
PROD-0004,2026-01-27,199
PROD-0004,2026-05-27,136
PROD-0004,2026-06-18,76
PROD-0004,2026-05-29,79
PROD-0004,2026-07-29,151
PROD-0004,2026-07-17,129
PROD-0004,2026-03-26,179
PROD-0004,2026-07-09,78
PROD-0004,2026-01-20,44
PROD-0004,2026-01-02,141
