sku,date,quantity,revenue
PROD-0001,2026-04-19,10,260
PROD-0001,2026-05-18,12,312
PROD-0001,2026-03-29,12,312
PROD-0001,2026-04-18,9,234
PROD-0002,2026-02-12,7,1565.48
PROD-0002,2026-04-25,14,3130.96
PROD-0002,2026-07-13,4,894.56
PROD-0002,2026-02-19,9,2012.76
PROD-0003,2026-03-22,34,8743.44
PROD-0003,2026-07-02,23,5914.68
PROD-0003,2026-06-06,40,10286.4
PROD-0003,2026-02-15,11,2828.76
PROD-0003,2026-04-01,22,5657.52
PROD-0003,2026-04-23,36,9257.76
PROD-0003,2026-06-27,38,9772.08
PROD-0003,2026-03-10,22,5657.52
PROD-0004,2026-05-27,14,2461.06
PROD-0004,2026-07-26,2,351.58
PROD-0004,2026-06-18,7,1230.53
PROD-0004,2026-07-29,11,1933.69
PROD-0005,2026-06-05,8,1851.2
PROD-0005,2026-04-08,6,1388.4
PROD-0005,2026-05-12,4,925.6
PROD-0006,2026-04-23,3,658.41
PROD-0006,2026-07-21,7,1536.29
PROD-0006,2026-05-01,14,3072.58
PROD-0006,2026-02-27,6,1316.82
PROD-0007,2026-06-12,27,3236.22
PROD-0007,2026-06-26,34,4075.24
PROD-0007,2026-04-21,28,3356.08
PROD-0007,2026-06-27,21,2517.06
PROD-0007,2026-04-01,7,839.02
PROD-0007,2026-06-29,12,1438.32
PROD-0007,2026-07-07,23,2756.78
PROD-0008,2026-05-06,6,1047.18
PROD-0008,2026-06-12,9,1570.77
PROD-0008,2026-01-16,2,349.06
PROD-0008,2026-02-04,9,1570.77
PROD-0009,2026-03-12,3,426.81
PROD-0009,2026-07-09,15,2134.05
PROD-0009,2026-05-18,11,1564.97
PROD-0009,2026-07-14,9,1280.43
PROD-0010,2026-02-17,4,427.04
PROD-0010,2026-01-01,3,320.28
PROD-0011,2026-03-30,14,1209.74
PROD-0011,2026-04-03,3,259.23
PROD-0011,2026-01-30,12,1036.92
PROD-0011,2026-03-28,10,864.1
PROD-0012,2026-01-24,29,4754.55
PROD-0012,2026-01-11,22,3606.9
PROD-0012,2026-02-23,8,1311.6
PROD-0012,2026-03-22,22,3606.9
PROD-0012,2026-01-13,36,5902.2
PROD-0012,2026-04-04,30,4918.5
PROD-0013,2026-03-25,13,2094.17
PROD-0013,2026-02-09,34,5477.06
PROD-0013,2026-04-21,18,2899.62
PROD-0013,2026-04-01,36,5799.24
PROD-0013,2026-06-26,34,5477.06
PROD-0013,2026-05-13,32,5154.88
PROD-0013,2026-06-29,31,4993.79
PROD-0014,2026-05-15,13,3429.66
PROD-0014,2026-06-30,10,2638.2
PROD-0014,2026-05-23,6,1582.92
PROD-0014,2026-07-05,11,2902.02
PROD-0015,2026-02-07,11,2118.49
