sku,date,quantity,revenue
QD-008,2026-06-27,3,47.97
QD-002,2026-06-15,1,49.99
QD-009,2026-06-22,4,90.00
QD-009,2026-07-29,5,112.50
QD-008,2026-06-01,1,15.99
QD-009,2026-07-12,7,157.50
QD-003,2026-05-17,7,171.50
QD-005,2026-05-15,5,299.95
QD-005,2026-05-16,1,59.99
QD-005,2026-05-10,8,479.92
QD-002,2026-07-31,5,249.95
QD-009,2026-06-17,3,67.50
QD-001,2026-07-05,1,19.99
QD-009,2026-05-23,6,135.00
QD-009,2026-06-03,1,22.50
QD-004,2026-07-26,2,68.00
QD-007,2026-07-13,5,324.95
QD-008,2026-07-03,3,47.97
QD-005,2026-07-15,3,179.97
QD-009,2026-06-14,3,67.50
QD-003,2026-08-02,5,122.50
QD-008,2026-06-24,2,31.98
QD-005,2026-07-08,6,359.94
QD-006,2026-07-08,2,59.98
QD-007,2026-07-28,2,129.98
QD-001,2026-07-30,2,39.98
QD-005,2026-05-12,7,419.93
QD-010,2026-05-28,6,107.94
QD-006,2026-06-30,8,239.92
QD-001,2026-07-01,1,19.99
QD-010,2026-07-06,4,71.96
QD-002,2026-06-14,7,349.93
QD-007,2026-07-06,3,194.97
QD-009,2026-06-09,4,90.00
QD-009,2026-07-25,8,180.00
QD-008,2026-07-14,7,111.93
QD-005,2026-05-13,1,59.99
QD-003,2026-07-31,2,49.00
QD-004,2026-05-18,2,68.00
QD-005,2026-07-22,6,359.94
QD-006,2026-06-23,8,239.92
QD-009,2026-06-26,8,180.00
QD-007,2026-06-04,1,64.99
QD-007,2026-08-05,3,194.97
QD-006,2026-05-12,8,239.92
QD-003,2026-07-08,5,122.50
QD-007,2026-05-29,6,389.94
QD-008,2026-06-30,1,15.99
QD-003,2026-06-21,8,196.00
QD-009,2026-05-29,7,157.50
QD-003,2026-06-11,4,98.00
QD-001,2026-05-15,1,19.99
QD-002,2026-08-05,3,149.97
QD-007,2026-07-18,4,259.96
QD-002,2026-07-24,5,249.95
QD-002,2026-05-12,6,299.94
QD-009,2026-06-12,3,67.50
QD-008,2026-05-24,4,63.96
QD-003,2026-06-26,6,147.00
