sku,review_date,review_text,rating
PROD-0001,2026-06-04,Customer service was great when I had a question. (order #114948),5
PROD-0001,2026-04-27,"Poor quality control, would not buy again. (order #224066)",2
PROD-0001,2026-01-03,"Better than I expected, glad I bought it. (order #222238)",5
PROD-0001,2026-06-14,Instructions were unclear and setup was frustrating. (order #286509),2
PROD-0001,2026-07-07,"Absolutely love this, works exactly as described. (order #593422)",5
PROD-0001,2026-04-21,"Works fine so far, will update after more use. (order #348692)",3
PROD-0001,2026-04-28,"Not what I expected from the photos, feels cheap. (order #52631)",2
PROD-0002,2026-06-09,"Great quality for the price, highly recommend. (order #177868)",5
PROD-0002,2026-06-03,"Perfect fit for what I needed, five stars. (order #102559)",4
PROD-0002,2026-06-17,Instructions were unclear and setup was frustrating. (order #501558),2
PROD-0002,2026-05-26,Fast shipping and the product feels premium. (order #21458),4
PROD-0002,2026-03-14,"Great quality for the price, highly recommend. (order #315841)",4
PROD-0002,2026-01-17,Fast shipping and the product feels premium. (order #576222),5
PROD-0002,2026-07-10,"Better than I expected, glad I bought it. (order #983434)",5
PROD-0003,2026-05-25,"Average product, average experience overall. (order #58394)",3
PROD-0003,2026-07-19,Instructions were unclear and setup was frustrating. (order #815379),1
PROD-0003,2026-02-14,"Exceeded my expectations, will buy again. (order #687786)",5
PROD-0003,2026-03-08,"Solid build quality, no complaints so far. (order #639073)",5
PROD-0003,2026-06-04,Instructions were unclear and setup was frustrating. (order #915877),2
PROD-0003,2026-06-05,"Absolutely love this, works exactly as described. (order #755491)",4
PROD-0003,2026-02-21,"Absolutely love this, works exactly as described. (order #656123)",5
PROD-0003,2026-02-10,"It's okay, does the job but nothing special. (order #235773)",3
PROD-0003,2026-03-05,"Perfect fit for what I needed, five stars. (order #775252)",4
PROD-0003,2026-06-06,"Great quality for the price, highly recommend. (order #632363)",4
PROD-0004,2026-02-15,"Great quality for the price, highly recommend. (order #760305)",4
PROD-0004,2026-04-01,"Not what I expected from the photos, feels cheap. (order #297350)",1
PROD-0004,2026-07-07,"It's okay, does the job but nothing special. (order #397101)",3
PROD-0004,2026-02-23,"Better than I expected, glad I bought it. (order #209194)",4
PROD-0004,2026-07-13,Fast shipping and the product feels premium. (order #885726),5
PROD-0004,2026-06-29,"Perfect fit for what I needed, five stars. (order #742785)",5
PROD-0004,2026-07-01,Fast shipping and the product feels premium. (order #843582),5
PROD-0005,2026-03-24,"Average product, average experience overall. (order #574263)",3
PROD-0005,2026-05-19,"Perfect fit for what I needed, five stars. (order #547871)",5
PROD-0005,2026-02-07,"Better than I expected, glad I bought it. (order #553267)",4
PROD-0005,2026-05-13,Fast shipping and the product feels premium. (order #507847),5
PROD-0005,2026-02-08,"Works fine so far, will update after more use. (order #153203)",3
PROD-0005,2026-06-26,"Not bad, though delivery took longer than expected. (order #99590)",3
PROD-0006,2026-06-16,"Absolutely love this, works exactly as described. (order #574014)",5
PROD-0006,2026-01-20,"Better than I expected, glad I bought it. (order #223166)",4
PROD-0006,2026-03-22,"Exceeded my expectations, will buy again. (order #242868)",4
PROD-0006,2026-03-27,"Exceeded my expectations, will buy again. (order #741028)",4
PROD-0006,2026-05-07,"Absolutely love this, works exactly as described. (order #235935)",4
PROD-0006,2026-04-03,"Better than I expected, glad I bought it. (order #387388)",5
PROD-0006,2026-01-22,"Absolutely love this, works exactly as described. (order #595910)",4
PROD-0007,2026-05-11,Decent value but packaging could be better. (order #183501),3
PROD-0007,2026-06-22,"Broke after a few days of normal use, disappointed. (order #288197)",2
PROD-0007,2026-04-07,"Great quality for the price, highly recommend. (order #142386)",5
PROD-0007,2026-05-23,"Better than I expected, glad I bought it. (order #416758)",4
PROD-0007,2026-05-09,"Poor quality control, would not buy again. (order #346893)",1
PROD-0007,2026-05-20,"Exceeded my expectations, will buy again. (order #894836)",4
PROD-0007,2026-05-27,"Great quality for the price, highly recommend. (order #589115)",4
PROD-0007,2026-03-12,Decent value but packaging could be better. (order #214952),3
